rank,fold,model,seed,prevalence,auroc,ap,repeat_seed
Species,1,cnn_maxpool,123,0.05792070162616481,0.4477540484517135,0.04944888100721022,42
Species,1,cnn_maxpool,7,0.05792070162616481,0.44022430759667464,0.04901286266516146,42
Species,1,cnn_maxpool,13,0.05792070162616481,0.46739671767662794,0.051878211282862935,42
Species,1,cnn_maxpool,21,0.05792070162616481,0.4604748258131778,0.051382862343495594,42
Species,2,cnn_maxpool,42,0.05789186237028946,0.4628165162701668,0.04953573984952478,42
Species,2,cnn_maxpool,123,0.05789186237028946,0.4141488165770365,0.04652891084085124,42
Species,2,cnn_maxpool,7,0.05789186237028946,0.4151532828973354,0.04607957872022184,42
Species,2,cnn_maxpool,13,0.05789186237028946,0.4349199404490627,0.04806374858564149,42
Species,2,cnn_maxpool,21,0.05789186237028946,0.4416467657156746,0.048829400103659826,42
Species,3,cnn_maxpool,42,0.05818181818181818,0.5117277992277992,0.05530666349281396,42
Species,3,cnn_maxpool,123,0.05818181818181818,0.45860581563706565,0.05073044685322077,42
Species,3,cnn_maxpool,7,0.05818181818181818,0.4498166023166023,0.04966278947037684,42
Species,3,cnn_maxpool,13,0.05818181818181818,0.47262487934362934,0.0517130356685888,42
Species,3,cnn_maxpool,21,0.05818181818181818,0.47663760859073356,0.05274098379783422,42
Species,4,cnn_maxpool,42,0.058424425179042595,0.493160980397221,0.053769795766143366,42
Species,4,cnn_maxpool,123,0.058424425179042595,0.45109991218781476,0.04995207077490866,42
Species,4,cnn_maxpool,7,0.058424425179042595,0.4463541801182882,0.049409335978103264,42
Species,4,cnn_maxpool,13,0.058424425179042595,0.4634778790774555,0.05116622779462052,42
Species,4,cnn_maxpool,21,0.058424425179042595,0.46194374854722486,0.052341714269544315,42
Genus,0,cnn_avgpool,42,0.058490221166148784,0.5678961002717918,0.06154503703585873,42
Genus,0,cnn_avgpool,123,0.058490221166148784,0.7558125849349642,0.13187715058645288,42
Genus,0,cnn_avgpool,7,0.058490221166148784,0.5954511259949524,0.0778346851000572,42
Genus,0,cnn_avgpool,13,0.058490221166148784,0.7332010774606872,0.13126133183190203,42
Genus,0,cnn_avgpool,21,0.058490221166148784,0.7266228644923316,0.1354550798549916,42
Genus,1,cnn_avgpool,42,0.05843681519357195,0.5386515709852598,0.05752239251036084,42
Genus,1,cnn_avgpool,123,0.05843681519357195,0.7297468968192398,0.12095639800221272,42
Genus,1,cnn_avgpool,7,0.05843681519357195,0.5698900552754074,0.07197127756136015,42
Genus,1,cnn_avgpool,13,0.05843681519357195,0.7015194676105507,0.1254728525154144,42
Genus,1,cnn_avgpool,21,0.05843681519357195,0.692200227889837,0.1306233165737608,42
Genus,2,cnn_avgpool,42,0.05823475887170155,0.6108091787439613,0.07615887451329605,42
Genus,2,cnn_avgpool,123,0.05823475887170155,0.7761141304347827,0.2895440052225893,42
Genus,2,cnn_avgpool,7,0.05823475887170155,0.6212179951690822,0.10757010095000905,42
Genus,2,cnn_avgpool,13,0.05823475887170155,0.7493677536231884,0.2623537276496014,42
Genus,2,cnn_avgpool,21,0.05823475887170155,0.7394359903381642,0.23625181143267046,42
Genus,3,cnn_avgpool,42,0.05818181818181818,0.5509148769305019,0.059627333613675754,42
Genus,3,cnn_avgpool,123,0.05818181818181818,0.7342911438223938,0.1333918336187213,42
Genus,3,cnn_avgpool,7,0.05818181818181818,0.5722037886100386,0.07213342341955288,42
Genus,3,cnn_avgpool,13,0.05818181818181818,0.708273708976834,0.14366181181921903,42
Genus,3,cnn_avgpool,21,0.05818181818181818,0.6952283421814671,0.14965667908583222,42
Genus,4,cnn_avgpool,42,0.058424425179042595,0.5374012112916139,0.05777877159630569,42
Genus,4,cnn_avgpool,123,0.058424425179042595,0.7340323872000827,0.18543014489685267,42
Genus,4,cnn_avgpool,7,0.058424425179042595,0.6007231591724992,0.08174422704370418,42
Genus,4,cnn_avgpool,13,0.058424425179042595,0.7210542627650507,0.22039690438553722,42
