rank,fold,test_n,test_pos,prevalence,model,seed,auroc,ap,repeat_seed
Phylum,1,5476,320,0.05843681519357195,tiny_mlp,7,0.9963677026764934,0.9436824797589833,42
Phylum,1,5476,320,0.05843681519357195,tiny_mlp,13,0.9962343628782001,0.9395667603294076,42
Phylum,1,5476,320,0.05843681519357195,tiny_mlp,21,0.9973198700543057,0.9558706379270971,42
Phylum,2,5495,320,0.05823475887170155,tiny_mlp,42,0.9992801932367149,0.9961429705689422,42
Phylum,2,5495,320,0.05823475887170155,tiny_mlp,123,0.9996231884057971,0.9966927951698057,42
Phylum,2,5495,320,0.05823475887170155,tiny_mlp,7,0.9991859903381642,0.9962885772638286,42
Phylum,2,5495,320,0.05823475887170155,tiny_mlp,13,0.9995356280193237,0.9956117187240767,42
Phylum,2,5495,320,0.05823475887170155,tiny_mlp,21,0.9997711352657005,0.9974058982077115,42
Phylum,3,5500,320,0.05818181818181818,tiny_mlp,42,0.9990100144787646,0.9860302820641378,42
Phylum,3,5500,320,0.05818181818181818,tiny_mlp,123,0.9986655405405405,0.9810018801740082,42
Phylum,3,5500,320,0.05818181818181818,tiny_mlp,7,0.999055863899614,0.9870894715909436,42
Phylum,3,5500,320,0.05818181818181818,tiny_mlp,13,0.9873715009652511,0.8717143602017977,42
Phylum,3,5500,320,0.05818181818181818,tiny_mlp,21,0.9987186293436293,0.9839618174630365,42
Phylum,4,5306,310,0.058424425179042595,tiny_mlp,42,0.9991083189131951,0.9862421689699752,42
Phylum,4,5306,310,0.058424425179042595,tiny_mlp,123,0.9989204266639119,0.9846907511371666,42
Phylum,4,5306,310,0.058424425179042595,tiny_mlp,7,0.9990566646865879,0.9856774889337091,42
Phylum,4,5306,310,0.058424425179042595,tiny_mlp,13,0.9986628012087089,0.9812164001206588,42
Phylum,4,5306,310,0.058424425179042595,tiny_mlp,21,0.9990908856117152,0.9866350731434617,42
Novelty,0,5471,320,0.058490221166148784,tiny_mlp,42,0.9999235585323238,0.998729114473793,42
Novelty,0,5471,320,0.058490221166148784,tiny_mlp,123,0.9998865511551156,0.9981376400028574,42
Novelty,0,5471,320,0.058490221166148784,tiny_mlp,7,0.9999271986022131,0.9987964833132794,42
Novelty,0,5471,320,0.058490221166148784,tiny_mlp,13,0.9985967530576586,0.9747453097128059,42
Novelty,0,5471,320,0.058490221166148784,tiny_mlp,21,0.9998719908755581,0.9978609354924037,42
Novelty,1,5476,320,0.05843681519357195,tiny_mlp,42,0.9995030062063615,0.991888620155489,42
Novelty,1,5476,320,0.05843681519357195,tiny_mlp,123,0.9991514740108611,0.9859762107560752,42
Novelty,1,5476,320,0.05843681519357195,tiny_mlp,7,0.9994672468968192,0.991326154396864,42
Novelty,1,5476,320,0.05843681519357195,tiny_mlp,13,0.9979817203258339,0.9674933572289308,42
Novelty,1,5476,320,0.05843681519357195,tiny_mlp,21,0.9995575543056633,0.9929862353527155,42
Novelty,2,5495,320,0.05823475887170155,tiny_mlp,42,0.9999933574879227,0.9998939015300365,42
Novelty,2,5495,320,0.05823475887170155,tiny_mlp,123,0.9999855072463767,0.9997698500368655,42
